conversation id,Date,Status,Escalated,Escalated_2,Escalation Reason,Abandoned,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
081HQj0zCJ-TeWbUXMPkt2jUQ,2025-09-19 12:24:05.727189 UTC,0,,0,0,,0,,0,,,36,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103BGqValX7SNu22oGcIa9u6g,2025-09-19 12:26:16.129997 UTC,0,,0,0,,0,,0,,,19,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081DnszAyiNRkKJo_WT7Z509Q,2025-09-19 12:33:14.521916 UTC,0,,0,0,,0,,0,,,45,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103ljnFHyO_QL6g51WqQImjmg,2025-09-19 12:34:52.986546 UTC,0,,0,0,,0,,0,,,44,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0812BjxctuYT92EamZkfwzoGQ,2025-09-19 13:06:30.172316 UTC,0,,0,0,,0,,0,,,48,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119BYqHHpuYRTqihnNpVB2_vw,2025-09-19 13:11:40.208792 UTC,0,,0,0,,0,,0,,,94,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081d_h9PHlvRY2M5KSg4nzUDQ,2025-09-19 13:22:17.856775 UTC,0,,0,0,,0,,0,,,70,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081ZiEMLT-fTHiHWnln9WEMwQ,2025-09-19 13:24:58.371627 UTC,0,,0,0,,0,,0,,,16,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119xdqvTBQpSYuO9l7SUd4ZEw,2025-09-19 13:30:35.849121 UTC,0,,0,0,,0,,0,,,34,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103_N9yn0ZVQD63GltR4gLCPg,2025-09-19 13:32:56.123288 UTC,0,,0,0,,0,,0,,,18,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
